用户编号,文章类别,阅读数,看一看,点赞,赞赏,被转载,访问日期
1,数据分析,20051,1203,2406,80,601,2020/9/21
2,数据分析,11690,584,1519,46,233,2020/9/17
3,数据分析,5720,400,572,45,228,2020/9/2
4,数据分析,22502,1125,3150,45,900,2020/9/24
5,数据分析,11201,560,1344,89,448,2020/9/8
6,数据分析,5834,233,816,35,116,2020/9/21
7,数据分析,12088,846,1692,12,483,2020/9/24
8,数据分析,25402,1778,3556,228,508,2020/9/2
9,数据分析,5815,407,814,5,116,2020/9/26
10,数据分析,10369,518,933,41,207,2020/9/17
11,数据分析,12806,512,1664,25,384,2020/9/22
12,数据分析,19597,1175,2743,137,783,2020/9/4
13,数据分析,6874,412,687,27,137,2020/9/14
14,数据分析,11799,707,1533,70,235,2020/9/10
15,数据分析,14397,719,1439,100,287,2020/9/4
16,数据分析,25387,1269,2792,203,507,2020/9/17
17,数据分析,9209,368,920,82,184,2020/9/23
18,数据分析,6935,277,762,62,138,2020/9/30
19,数据分析,14343,1004,1721,28,430,2020/9/6
20,数据分析,9464,662,1230,85,378,2020/9/1
21,爬虫,12977,648,1687,116,389,2020/9/22
22,爬虫,6924,415,830,13,138,2020/9/13
23,爬虫,13410,536,1206,67,402,2020/9/12
24,爬虫,10877,543,1305,10,217,2020/9/6
25,爬虫,6119,244,734,48,122,2020/9/22
26,爬虫,6745,337,741,13,134,2020/9/13
27,爬虫,3508,175,385,28,140,2020/9/16
28,Python,13962,698,1396,125,279,2020/9/8
28,Python,14672,880,1613,88,293,2020/9/8
29,Python,10478,628,1152,52,209,2020/9/28
29,数据分析,10809,432,1080,97,432,2020/9/28
30,Python,10631,744,1382,10,318,2020/9/12
30,数据分析,11251,787,1575,67,225,2020/9/12
31,数据分析,5388,377,646,16,107,2020/9/22
31,数据分析,5722,343,629,28,228,2020/9/22
32,Python,25351,1267,2788,202,760,2020/9/18
32,数据分析,25382,1522,2538,76,1015,2020/9/18
33,Python,14770,1033,2067,59,295,2020/9/15
33,数据分析,14210,994,1421,127,568,2020/9/15
34,Python,15148,1060,1363,75,454,2020/9/21
34,数据分析,15131,907,1815,30,302,2020/9/21
35,Python,11704,702,1521,93,351,2020/9/20
35,数据分析,12046,602,1686,72,240,2020/9/20
36,Python,6947,347,694,62,277,2020/9/30
36,数据分析,6866,411,892,6,274,2020/9/30
37,Python,16240,649,1461,113,649,2020/9/15
37,数据分析,16022,961,2243,48,640,2020/9/15
38,Python,15850,1109,1902,110,475,2020/9/23
38,数据分析,16055,642,1605,128,642,2020/9/23
39,Python,9002,450,990,54,360,2020/9/19
39,数据分析,8722,523,959,17,348,2020/9/19
40,Python,9815,490,1079,39,196,2020/9/26
40,数据分析,10074,503,1007,70,402,2020/9/26
41,Python,16263,650,1626,16,325,2020/9/13
41,数据分析,15759,945,1891,110,472,2020/9/13
42,Python,10739,644,966,32,214,2020/9/5
42,数据分析,11046,662,1104,11,441,2020/9/5
43,Python,9130,365,1004,27,273,2020/9/30
43,数据分析,8879,532,799,44,355,2020/9/30
44,Python,17625,1057,1586,70,705,2020/9/1
44,数据分析,17123,856,2397,68,513,2020/9/1
45,Python,8966,537,806,62,358,2020/9/24
45,数据分析,8735,611,1135,78,262,2020/9/24
46,Python,12889,773,1417,116,515,2020/9/9
46,Python,12942,905,1294,12,517,2020/9/9
47,爬虫,3328,199,432,26,66,2020/9/10
47,数据分析,3302,132,396,9,132,2020/9/10
48,数据分析,9484,474,1138,18,379,2020/9/7
48,爬虫,9874,691,1184,19,296,2020/9/7
49,数据分析,10257,615,1230,92,410,2020/9/23
49,爬虫,9872,592,1283,78,197,2020/9/23
50,数据分析,5328,266,745,26,159,2020/9/14
50,爬虫,5074,355,558,20,152,2020/9/14
51,数据分析,17213,860,1549,34,516,2020/9/12
51,爬虫,16507,825,1650,66,495,2020/9/12
52,数据分析,5334,266,586,5,106,2020/9/17
52,爬虫,5059,202,607,10,101,2020/9/17
53,数据分析,13551,677,1761,108,271,2020/9/26
53,爬虫,13483,808,1617,13,539,2020/9/26
54,数据分析,8646,345,778,34,345,2020/9/27
54,爬虫,9107,364,1092,45,182,2020/9/27
55,数据分析,14341,1003,1720,71,286,2020/9/17
55,爬虫,14756,885,1918,44,590,2020/9/17
56,Python,12500,875,1375,12,250,2020/9/7
56,爬虫,11996,479,1079,95,359,2020/9/7
57,Python,9744,584,1364,38,194,2020/9/15
57,爬虫,9403,470,1316,28,188,2020/9/15
58,Python,4670,280,513,9,93,2020/9/18
58,爬虫,4388,219,614,4,175,2020/9/18
59,Python,6197,371,557,37,185,2020/9/26
59,爬虫,5763,403,691,46,230,2020/9/26
60,Python,13329,799,1732,53,533,2020/9/1
60,爬虫,13720,686,1920,54,411,2020/9/1
61,Python,6276,376,878,43,125,2020/9/13
61,爬虫,6616,330,793,6,264,2020/9/13
61,数据分析,6007,420,780,54,120,2020/9/13
62,数据分析,9970,598,1296,9,199,2020/9/6
62,爬虫,10110,606,1011,40,202,2020/9/6
62,爬虫,9431,565,848,37,282,2020/9/6
63,Python,13315,532,1597,39,532,2020/9/5
63,Python,13545,541,1489,121,270,2020/9/5
63,数据分析,13167,790,1448,65,395,2020/9/5
64,Python,5782,346,636,40,173,2020/9/8
64,爬虫,5808,348,522,34,116,2020/9/8
64,数据分析,5719,400,629,22,228,2020/9/8
65,Python,5903,354,531,47,236,2020/9/6
65,爬虫,5955,297,774,35,119,2020/9/6
65,数据分析,6333,253,633,44,189,2020/9/6
66,Python,14698,587,1469,132,440,2020/9/10
66,爬虫,14745,737,1769,88,294,2020/9/10
66,数据分析,14461,1012,1301,72,289,2020/9/10
67,Python,9217,460,1106,18,368,2020/9/15
67,爬虫,8911,356,980,53,267,2020/9/15
67,数据分析,8759,613,1226,70,262,2020/9/15
68,Python,3060,183,367,21,91,2020/9/27
68,爬虫,2970,207,326,14,89,2020/9/27
68,数据分析,2981,178,387,14,59,2020/9/27
69,Python,7106,497,852,21,142,2020/9/11
69,爬虫,6336,443,887,38,190,2020/9/11
69,数据分析,6570,328,722,39,131,2020/9/11
70,Python,5971,358,835,35,119,2020/9/18
70,爬虫,5932,237,711,5,118,2020/9/18
70,数据分析,6121,367,673,12,122,2020/9/18
71,Python,3446,241,379,13,137,2020/9/7
71,爬虫,4010,280,561,4,80,2020/9/7
71,数据分析,3872,154,542,3,154,2020/9/7
72,Python,8818,352,1234,61,352,2020/9/12
72,sql,8733,611,1135,8,261,2020/9/12
72,数据分析,9072,544,997,36,362,2020/9/12
73,Python,21850,1092,2185,152,437,2020/9/23
73,sql,22416,1569,2017,156,672,2020/9/23
73,数据分析,22467,1348,2022,89,674,2020/9/23
74,Python,3626,145,326,18,72,2020/9/21
74,sql,3902,156,546,15,117,2020/9/21
74,Python,3599,143,395,3,143,2020/9/21
75,Python,13315,932,1331,106,266,2020/9/30
75,sql,13288,664,1461,106,265,2020/9/30
75,数据分析,13344,934,1601,53,533,2020/9/30
76,Python,3743,149,411,18,112,2020/9/3
76,sql,4072,162,366,20,162,2020/9/3
76,数据分析,3896,272,428,35,155,2020/9/3
